,song,artist,album,duration,date,date_album,explicit,popularity,adalaber,imagen,url_cancion,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
106,Vía Láctea,Zoé,Memo Rex Commander y el Corazón Atómico de la Vía Láctea,248133,2022-09-19T05:16:19Z,2006-07-12,False,56,user6,https://i.scdn.co/image/ab67616d0000b2730b8e3472fbc48bce859650f9,https://open.spotify.com/track/1nquycJ4zLhrT23rwtH5Wj,spotify:track:1nquycJ4zLhrT23rwtH5Wj,0.534,0.759,7,-4.781,1,0.0469,0.0624,0.00484,0.104,0.574,150.976
107,Quemas,"['Ede', 'Xoel López']",Quemas,202000,2022-09-19T06:33:44Z,2021-03-11,False,39,user7,https://i.scdn.co/image/ab67616d0000b273c868c5b78656cc4b82cd7e59,https://open.spotify.com/track/1CXzP10vXUYr8p6DxCKfG2,spotify:track:1CXzP10vXUYr8p6DxCKfG2,0.444,0.225,3,-10.08,1,0.0387,0.807,1.4e-06,0.221,0.153,96.599
108,Hace días (feat. Ciudad Jara),"['Colectivo Panamera', 'Ciudad Jara']",Mares por navegar,200002,2022-09-19T06:33:59Z,2021-04-23,False,38,user7,https://i.scdn.co/image/ab67616d0000b273aec92dab3a4a3aec1d360926,https://open.spotify.com/track/6a0p6W0CQtro3ODHdqWI1w,spotify:track:6a0p6W0CQtro3ODHdqWI1w,0.94,0.449,7,-6.472,1,0.0614,0.146,0.0,0.0989,0.911,124.997
109,Te llevo dentro (feat. Rozalén) - Mix 2019,"['Colectivo Panamera', 'Rozalén']",Colectivo Panamera (Edición especial),205512,2022-09-19T06:34:05Z,2019-07-03,False,49,user7,https://i.scdn.co/image/ab67616d0000b273d8311277adb26e15fcb8cf85,https://open.spotify.com/track/7efyDVJM7aCSgT2sPVIQ8M,spotify:track:7efyDVJM7aCSgT2sPVIQ8M,0.735,0.626,1,-6.591,0,0.26,0.0843,0.0,0.0483,0.92,175.024
110,Sinmigo,"['Mr. Kilombo', 'Rozalén']",Cerrando Puntos Suspensivos,217373,2022-09-19T06:34:19Z,2018-11-23,False,52,user7,https://i.scdn.co/image/ab67616d0000b2737709d3d11ab84a94bd007021,https://open.spotify.com/track/4GjjFFJpivq5otRgAfUGqw,spotify:track:4GjjFFJpivq5otRgAfUGqw,0.596,0.405,7,-9.141,1,0.0344,0.66,8.79e-06,0.11,0.319,93.089
111,El huracán (feat. Mr. Kilombo) - Acústica,"['Colectivo Panamera', 'Mr. Kilombo']",Colectivo Panamera (Edición especial),220001,2022-09-19T06:34:43Z,2019-07-03,False,48,user7,https://i.scdn.co/image/ab67616d0000b273d8311277adb26e15fcb8cf85,https://open.spotify.com/track/0FVCyel1CUAVKvB6ktWsa5,spotify:track:0FVCyel1CUAVKvB6ktWsa5,0.786,0.628,2,-9.212,1,0.0572,0.42,0.00155,0.0871,0.791,88.982
112,Milonga de Aquí,SES,Co Xenio Destrozado,260240,2022-09-19T06:35:43Z,2013-06-11,False,29,user7,https://i.scdn.co/image/ab67616d0000b273954ba4c276381961985c8917,https://open.spotify.com/track/0t0NucYqOHXcGPEyl0UICO,spotify:track:0t0NucYqOHXcGPEyl0UICO,0.579,0.518,8,-9.078,1,0.035,0.732,0.0,0.159,0.962,170.444
113,Morriña,Baiuca,Solpor,171748,2022-09-19T06:36:19Z,2018-04-06,False,42,user7,https://i.scdn.co/image/ab67616d0000b27349152ea77fa692fb30b4b7d1,https://open.spotify.com/track/6L7bBUqH6MSMugUQ9abOs5,spotify:track:6L7bBUqH6MSMugUQ9abOs5,0.676,0.789,9,-6.665,0,0.0426,0.288,0.000299,0.0832,0.77,150.025
114,Lodo,Xoel López,Sueños y Pan,193344,2022-09-19T06:41:29Z,2017-11-17,False,53,user8,https://i.scdn.co/image/ab67616d0000b273d765a1ea74abec19419ae77d,https://open.spotify.com/track/4EeoKXsFvTM4tlzv4fjIUb,spotify:track:4EeoKXsFvTM4tlzv4fjIUb,0.623,0.537,4,-9.929,1,0.0371,0.666,0.329,0.274,0.672,110.98
115,Plage,Crystal Fighters,Star of Love,230480,2022-09-19T06:41:43Z,2010-10-24,False,51,user8,https://i.scdn.co/image/ab67616d0000b2738d92084fb3f15d5f8965eb51,https://open.spotify.com/track/6y4sVRatVOlBRref1xUqTO,spotify:track:6y4sVRatVOlBRref1xUqTO,0.689,0.828,4,-6.412,1,0.0415,0.105,0.0237,0.154,0.264,134.028
